year,player_name,sg_approach
2021,Collin Morikawa,1.17
2021,Paul Casey,0.895
2021,Justin Thomas,0.887
2021,Keegan Bradley,0.856
2021,Daniel Berger,0.834
2021,Russell Henley,0.831
2021,Will Zalatoris,0.751
2021,Jon Rahm,0.717
2021,Corey Conners,0.698
2021,Cameron Percy,0.698
2021,Matthew NeSmith,0.683
2021,Emiliano Grillo,0.669
2021,Tyrrell Hatton,0.651
2021,Xander Schauffele,0.65
2021,Viktor Hovland,0.648
2021,Charley Hoffman,0.646
2021,Hideki Matsuyama,0.614
2021,Kyle Stanley,0.55
2021,Shane Lowry,0.543
2021,Russell Knox,0.522
2021,Doug Ghim,0.516
2021,Chez Reavie,0.505
2021,Abraham Ancer,0.499
2021,Patrick Cantlay,0.486
2021,Brooks Koepka,0.482
2021,Harold Varner III,0.47
2021,Henrik Norlander,0.468
2021,Tony Finau,0.461
2021,Louis Oosthuizen,0.459
2021,Sam Burns,0.458
2021,Matt Wallace,0.443
2021,Talor Gooch,0.435
2021,Kevin Streelman,0.418
2021,Stewart Cink,0.417
2021,Rory McIlroy,0.403
2021,Michael Gellerman,0.399
2021,Lanto Griffin,0.394
2021,Seamus Power,0.393
2021,Webb Simpson,0.393
2021,Max Homa,0.372
2021,Jordan Spieth,0.365
2021,Cameron Tringale,0.363
2021,Luke Donald,0.362
2021,Aaron Wise,0.357
2021,Adam Scott,0.356
2021,Scott Stallings,0.353
2021,Matthew Wolff,0.342
2021,Hank Lebioda,0.332
2021,Joaquin Niemann,0.326
2021,Dustin Johnson,0.315
2021,Chris Kirk,0.314
2021,Tom Hoge,0.304
2021,Bryson DeChambeau,0.291
2021,Cameron Smith,0.291
2021,Gary Woodland,0.291
2021,Jason Kokrak,0.281
2021,Sergio Garcia,0.279
2021,Patrick Reed,0.279
2021,Jhonattan Vegas,0.257
2021,Luke List,0.251
2021,Bo Hoag,0.246
2021,Ryan Palmer,0.246
2021,C.T. Pan,0.245
2021,Sebasti치n Mu침oz,0.243
2021,Sungjae Im,0.237
2021,Camilo Villegas,0.236
2021,Roger Sloan,0.222
2021,Doc Redman,0.215
2021,Joseph Bramlett,0.21
2021,Martin Laird,0.208
2021,Jason Dufner,0.197
2021,Pat Perez,0.185
2021,Charl Schwartzel,0.183
2021,K.J. Choi,0.178
2021,Lucas Glover,0.172
2021,Patton Kizzire,0.169
2021,Lee Westwood,0.167
2021,Branden Grace,0.161
2021,Cam Davis,0.159
2021,D.J. Trahan,0.152
2021,Joel Dahmen,0.148
2021,Chase Seiffert,0.147
2021,Scottie Scheffler,0.145
2021,Erik van Rooyen,0.141
2021,Sam Ryder,0.129
2021,Harris English,0.125
2021,Danny Lee,0.122
2021,Marc Leishman,0.118
2021,Sepp Straka,0.114
2021,Andrew Putnam,0.109
2021,Brendan Steele,0.103
2021,Bubba Watson,0.103
2021,Rob Oppenheim,0.093
2021,Zach Johnson,0.085
2021,Adam Schenk,0.058
2021,Satoshi Kodaira,0.052
2021,Tommy Fleetwood,0.051
2021,Matt Kuchar,0.046
2021,Brian Stuard,0.043
2021,Tyler Duncan,0.042
2021,Carlos Ortiz,0.039
2021,John Huh,0.034
2021,Matt Fitzpatrick,0.026
2021,Troy Merritt,0.025
2021,Michael Kim,0.022
2021,Vaughn Taylor,0.015
2021,Ben Martin,0.011
2021,Scott Piercy,0.005
2021,Brandt Snedeker,0.0
2021,James Hahn,-0.004
2021,Scott Brown,-0.02
2021,Bronson Burgoon,-0.022
2021,Si Woo Kim,-0.026
2021,Kevin Na,-0.027
2021,David Hearn,-0.031
2021,Chesson Hadley,-0.036
2021,Mark Hubbard,-0.039
2021,Jason Day,-0.043
2021,Justin Rose,-0.045
2021,Ted Potter Jr.,-0.057
2021,K.H. Lee,-0.066
2021,Tyler McCumber,-0.076
2021,Ryan Armour,-0.082
2021,Brian Harman,-0.082
2021,Nate Lashley,-0.099
2021,Bo Van Pelt,-0.103
2021,Peter Malnati,-0.109
2021,J.J. Spaun,-0.109
2021,Josh Teater,-0.109
2021,Alex Noren,-0.11
2021,Will Gordon,-0.142
2021,Phil Mickelson,-0.142
2021,Ben Taylor,-0.145
2021,Mark Anderson,-0.149
2021,Michael Thompson,-0.151
2021,Byeong Hun An,-0.152
2021,Cameron Champ,-0.154
2021,Xinjun Zhang,-0.161
2021,Ian Poulter,-0.162
2021,Brendon Todd,-0.176
2021,Chris Baker,-0.182
2021,Richy Werenski,-0.183
2021,Harry Higgs,-0.184
2021,Kramer Hickok,-0.187
2021,Andrew Landry,-0.191
2021,Billy Horschel,-0.195
2021,Rory Sabbatini,-0.198
2021,Nick Watney,-0.205
2021,Danny Willett,-0.207
2021,Nick Taylor,-0.217
2021,Maverick McNealy,-0.223
2021,Nelson Ledesma,-0.224
2021,Rafa Cabrera Bello,-0.227
2021,Hudson Swafford,-0.233
2021,Robby Shelton,-0.236
2021,Tom Lewis,-0.238
2021,Rickie Fowler,-0.244
2021,Kevin Tway,-0.252
2021,Jim Herman,-0.254
2021,Anirban Lahiri,-0.254
2021,Grayson Murray,-0.26
2021,Kevin Kisner,-0.266
2021,Sean O'Hair,-0.29
2021,Keith Mitchell,-0.31
2021,Michael Gligic,-0.317
2021,Adam Hadwin,-0.32
2021,Brice Garnett,-0.324
2021,Aaron Baddeley,-0.328
2021,Dylan Frittelli,-0.333
2021,Mackenzie Hughes,-0.34
2021,Jimmy Walker,-0.344
2021,J.B. Holmes,-0.35
2021,Fabi치n G칩mez,-0.351
2021,Denny McCarthy,-0.353
2021,Ryan Brehm,-0.39
2021,Patrick Rodgers,-0.4
2021,Charles Howell III,-0.401
2021,Vince Whaley,-0.409
2021,Bill Haas,-0.411
2021,Beau Hossler,-0.42
2021,Matt Jones,-0.422
2021,Robert Streb,-0.451
2021,J.T. Poston,-0.488
2021,Brandon Hagy,-0.533
2021,Scott Harrington,-0.538
2021,Adam Long,-0.541
2021,Austin Cook,-0.568
2021,Wyndham Clark,-0.64
2021,Sung Kang,-0.647
2021,Rhein Gibson,-0.722
2021,Rafael Campos,-0.73
2021,Kris Ventura,-0.751
2021,Brian Gay,-0.774
2021,Sebastian Cappelen,-0.8
2021,Martin Trainer,-1.458
2021,Hunter Mahan,-1.601
